0 с,   73.00 м
10379 с,   245005.55 м
10380 с,   245006.32 м
10381 с,   245007.13 м
10382 с,   245007.99 м
10383 с,   245008.90 м
10384 с,   245009.87 м
10385 с,   245010.88 м
10386 с,   245011.94 м
10387 с,   245013.05 м
10388 с,   245014.21 м
10389 с,   245015.41 м
10390 с,   245016.67 м
10391 с,   245017.98 м
10392 с,   245019.33 м
10393 с,   245020.74 м
10394 с,   245022.19 м
10395 с,   245023.69 м
10396 с,   245025.24 м
10397 с,   245026.85 м
10398 с,   245028.50 м
10399 с,   245030.20 м
10400 с,   245031.94 м
10401 с,   245033.74 м
10402 с,   245035.59 м
10403 с,   245037.48 м
10404 с,   245039.43 м
10405 с,   245041.42 м
10406 с,   245043.46 м
10407 с,   245045.55 м
10408 с,   245047.69 м
10409 с,   245049.88 м
10410 с,   245052.12 м
10411 с,   245054.41 м
10412 с,   245056.74 м
10413 с,   245059.13 м
10414 с,   245061.56 м
10415 с,   245064.04 м
10416 с,   245066.57 м
10417 с,   245069.15 м
10418 с,   245071.78 м
10419 с,   245074.45 м
10420 с,   245077.18 м
10421 с,   245079.95 м
10422 с,   245082.77 м
10423 с,   245085.64 м
10424 с,   245088.56 м
10425 с,   245091.53 м
10426 с,   245094.55 м
10427 с,   245097.61 м
10428 с,   245100.72 м
10429 с,   245103.89 м
10430 с,   245107.10 м
10431 с,   245110.35 м
10432 с,   245113.66 м
10433 с,   245117.01 м
10434 с,   245120.42 м
10435 с,   245123.87 м
10436 с,   245127.37 м
10437 с,   245130.91 м
10438 с,   245134.51 м
10439 с,   245138.15 м
10440 с,   245141.84 м
10441 с,   245145.58 м
10442 с,   245149.37 м
10443 с,   245153.20 м
10444 с,   245157.08 м
10445 с,   245161.01 м
10446 с,   245164.99 м
10447 с,   245169.02 м
10448 с,   245173.09 м
10449 с,   245177.21 м
10450 с,   245181.38 м
10451 с,   245185.60 м
10452 с,   245189.86 м
10453 с,   245194.17 м
10454 с,   245198.53 м
10455 с,   245202.94 м
10456 с,   245207.39 м
10457 с,   245211.89 м
10458 с,   245216.44 м
10459 с,   245221.03 м
10460 с,   245225.68 м
10461 с,   245230.37 м
10462 с,   245235.10 м
10463 с,   245239.89 м
10464 с,   245244.72 м
10465 с,   245249.59 м
10466 с,   245254.52 м
10467 с,   245259.49 м
10468 с,   245264.51 м
10469 с,   245269.57 м
10470 с,   245274.68 м
10471 с,   245279.84 м
10472 с,   245285.05 м
10473 с,   245290.30 м
10474 с,   245295.60 м
10475 с,   245300.94 м
10476 с,   245306.33 м
10477 с,   245311.77 м
10478 с,   245317.25 м
10479 с,   245322.78 м
10480 с,   245328.36 м
10481 с,   245333.98 м
10482 с,   245339.64 м
10483 с,   245345.36 м
10484 с,   245351.12 м
10485 с,   245356.92 м
10486 с,   245362.77 м
10487 с,   245368.67 м
10488 с,   245374.61 м
10489 с,   245380.60 м
10490 с,   245386.64 м
10491 с,   245392.72 м
10492 с,   245398.84 м
10493 с,   245405.01 м
10494 с,   245411.23 м
10495 с,   245417.49 м
10496 с,   245423.79 м
10497 с,   245430.15 м
10498 с,   245436.54 м
10499 с,   245442.98 м
10500 с,   245449.47 м
10501 с,   245456.00 м
10502 с,   245462.58 м
10503 с,   245469.20 м
10504 с,   245475.86 м
10505 с,   245482.58 м
10506 с,   245489.33 м
10507 с,   245496.13 м
10508 с,   245502.97 м
10509 с,   245509.86 м
10510 с,   245516.79 м
10511 с,   245523.77 м
10512 с,   245530.79 м
10513 с,   245537.86 м
10514 с,   245544.97 м
10515 с,   245552.12 м
10516 с,   245559.32 м
10517 с,   245566.56 м
10518 с,   245573.84 м
10519 с,   245581.17 м
10520 с,   245588.54 м
10521 с,   245595.96 м
10522 с,   245603.42 м
10523 с,   245610.92 м
10524 с,   245618.47 м
10525 с,   245626.06 м
10526 с,   245633.69 м
10527 с,   245641.36 м
10528 с,   245649.08 м
10529 с,   245656.84 м
10530 с,   245664.65 м
10531 с,   245672.49 м
10532 с,   245680.38 м
10533 с,   245688.32 м
10534 с,   245696.29 м
10535 с,   245704.31 м
10536 с,   245712.37 м
10537 с,   245720.47 м
10538 с,   245728.61 м
10539 с,   245736.80 м
10540 с,   245745.03 м
10541 с,   245753.30 м
10542 с,   245761.61 м
10543 с,   245769.96 м
10544 с,   245778.36 м
10545 с,   245786.80 м
10546 с,   245795.28 м
10547 с,   245803.80 м
10548 с,   245812.36 м
10549 с,   245820.96 м
10550 с,   245829.61 м
10551 с,   245838.29 м
10552 с,   245847.02 м
10553 с,   245855.79 м
10554 с,   245864.60 м
10555 с,   245873.45 м
10556 с,   245882.34 м
10557 с,   245891.27 м
10558 с,   245900.24 м
10559 с,   245909.25 м
10560 с,   245918.30 м
10561 с,   245927.40 м
10562 с,   245936.53 м
10563 с,   245945.70 м
10564 с,   245954.92 м
10565 с,   245964.17 м
10566 с,   245973.46 м
10567 с,   245982.79 м
10568 с,   245992.17 м
10569 с,   246001.58 м
10570 с,   246011.03 м
10571 с,   246020.52 м
10572 с,   246030.05 м
10573 с,   246039.62 м
10574 с,   246049.22 м
10575 с,   246058.87 м
10576 с,   246068.56 м
10577 с,   246078.28 м
10578 с,   246088.05 м
10579 с,   246097.85 м
10580 с,   246107.69 м
10581 с,   246117.57 м
10582 с,   246127.48 м
10583 с,   246137.44 м
10584 с,   246147.43 м
10585 с,   246157.47 м
10586 с,   246167.53 м
10587 с,   246177.64 м
10588 с,   246187.79 м
10589 с,   246197.97 м
10590 с,   246208.19 м
10591 с,   246218.45 м
10592 с,   246228.74 м
10593 с,   246239.08 м
10594 с,   246249.44 м
10595 с,   246259.85 м
10596 с,   246270.29 м
10597 с,   246280.77 м
10598 с,   246291.29 м
10599 с,   246301.84 м
10600 с,   246312.43 м
10601 с,   246323.06 м
10602 с,   246333.72 м
10603 с,   246344.42 м
10604 с,   246355.16 м
10605 с,   246365.93 м
10606 с,   246376.73 м
10607 с,   246387.58 м
10608 с,   246398.45 м
10609 с,   246409.37 м
10610 с,   246420.32 м
10611 с,   246431.30 м
10612 с,   246442.32 м
10613 с,   246453.38 м
10614 с,   246464.47 м
10615 с,   246475.59 м
10616 с,   246486.75 м
10617 с,   246497.94 м
10618 с,   246509.17 м
10619 с,   246520.44 м
10620 с,   246531.73 м
10621 с,   246543.07 м
10622 с,   246554.43 м
10623 с,   246565.83 м
10624 с,   246577.26 м
10625 с,   246588.73 м
10626 с,   246600.23 м
10627 с,   246611.77 м
10628 с,   246623.34 м
10629 с,   246634.94 м
10630 с,   246646.57 м
10631 с,   246658.24 м
10632 с,   246669.94 м
10633 с,   246681.67 м
10634 с,   246693.44 м
10635 с,   246705.24 м
10636 с,   246717.07 м
10637 с,   246728.94 м
10638 с,   246740.83 м
10639 с,   246752.76 м
10640 с,   246764.72 м
10641 с,   246776.71 м
10642 с,   246788.74 м
10643 с,   246800.79 м
10644 с,   246812.88 м
10645 с,   246825.00 м
10646 с,   246837.15 м
10647 с,   246849.33 м
10648 с,   246861.54 м
10649 с,   246873.79 м
10650 с,   246886.06 м
10651 с,   246898.37 м
10652 с,   246910.70 м
10653 с,   246923.07 м
10654 с,   246935.46 м
10655 с,   246947.89 м
10656 с,   246960.35 м
10657 с,   246972.84 м
10658 с,   246985.35 м
10659 с,   246997.90 м
10660 с,   247010.48 м
10661 с,   247023.08 м
10662 с,   247035.72 м
10663 с,   247048.38 м
10664 с,   247061.07 м
10665 с,   247073.80 м
10666 с,   247086.55 м
10667 с,   247099.33 м
10668 с,   247112.14 м
10669 с,   247124.97 м
10670 с,   247137.84 м
10671 с,   247150.73 м
10672 с,   247163.66 м
10673 с,   247176.61 м
10674 с,   247189.58 м
10675 с,   247202.59 м
10676 с,   247215.62 м
10677 с,   247228.68 м
10678 с,   247241.77 м
10679 с,   247254.89 м
10680 с,   247268.03 м
10681 с,   247281.20 м
10682 с,   247294.39 м
10683 с,   247307.62 м
10684 с,   247320.87 м
10685 с,   247334.14 м
10686 с,   247347.44 м
10687 с,   247360.77 м
10688 с,   247374.13 м
10689 с,   247387.51 м
10690 с,   247400.91 м
10691 с,   247414.35 м
10692 с,   247427.80 м
10693 с,   247441.28 м
10694 с,   247454.79 м
10695 с,   247468.33 м
10696 с,   247481.88 м
10697 с,   247495.47 м
10698 с,   247509.07 м
10699 с,   247522.71 м
10700 с,   247536.36 м
10701 с,   247550.04 м
10702 с,   247563.75 м
10703 с,   247577.48 м
10704 с,   247591.23 м
10705 с,   247605.01 м
10706 с,   247618.81 м
10707 с,   247632.63 м
10708 с,   247646.48 м
10709 с,   247660.35 м
10710 с,   247674.24 м
10711 с,   247688.16 м
10712 с,   247702.10 м
10713 с,   247716.06 м
10714 с,   247730.05 м
10715 с,   247744.05 м
10716 с,   247758.08 м
10717 с,   247772.14 м
10718 с,   247786.21 м
10719 с,   247800.30 м
10720 с,   247814.42 м
10721 с,   247828.56 м
10722 с,   247842.72 м
10723 с,   247856.90 м
10724 с,   247871.10 м
10725 с,   247885.33 м
10726 с,   247899.57 м
10727 с,   247913.84 м
10728 с,   247928.12 м
10729 с,   247942.43 м
10730 с,   247956.75 м
10731 с,   247971.10 м
10732 с,   247985.47 м
10733 с,   247999.85 м
10734 с,   248014.26 м
10735 с,   248028.69 м
10736 с,   248043.13 м
10737 с,   248057.60 м
10738 с,   248072.08 м
10739 с,   248086.58 м
10740 с,   248101.10 м
10741 с,   248115.64 м
10742 с,   248130.20 м
10743 с,   248144.78 м
10744 с,   248159.38 м
10745 с,   248173.99 м
10746 с,   248188.62 м
10747 с,   248203.27 м
10748 с,   248217.94 м
10749 с,   248232.63 м
10750 с,   248247.33 м
10751 с,   248262.05 м
10752 с,   248276.79 м
10753 с,   248291.54 м
10754 с,   248306.31 м
10755 с,   248321.10 м
10756 с,   248335.90 м
10757 с,   248350.72 м
10758 с,   248365.56 м
10759 с,   248380.41 м
10760 с,   248395.28 м
10761 с,   248410.17 м
10762 с,   248425.07 м
10763 с,   248439.98 м
10764 с,   248454.92 м
10765 с,   248469.86 м
10766 с,   248484.82 м
10767 с,   248499.80 м
10768 с,   248514.79 м
10769 с,   248529.80 м
10770 с,   248544.82 м
10771 с,   248559.85 м
10772 с,   248574.90 м
10773 с,   248589.97 м
10774 с,   248605.04 м
10775 с,   248620.14 м
10776 с,   248635.24 м
10777 с,   248650.36 м
10778 с,   248665.49 м
10779 с,   248680.63 м
10780 с,   248695.79 м
10781 с,   248710.96 м
10782 с,   248726.15 м
10783 с,   248741.34 м
10784 с,   248756.55 м
10785 с,   248771.77 м
10786 с,   248787.00 м
10787 с,   248802.25 м
10788 с,   248817.51 м
10789 с,   248832.77 м
10790 с,   248848.05 м
10791 с,   248863.34 м
10792 с,   248878.65 м
10793 с,   248893.96 м
10794 с,   248909.28 м
10795 с,   248924.62 м
10796 с,   248939.96 м
10797 с,   248955.32 м
10798 с,   248970.69 м
10799 с,   248986.06 м
10800 с,   249001.45 м
10801 с,   249016.85 м
10802 с,   249032.25 м
10803 с,   249047.67 м
10804 с,   249063.09 м
10805 с,   249078.53 м
10806 с,   249093.97 м
10807 с,   249109.42 м
10808 с,   249124.88 м
10809 с,   249140.35 м
10810 с,   249155.83 м
10811 с,   249171.32 м
10812 с,   249186.81 м
10813 с,   249202.32 м
10814 с,   249217.83 м
10815 с,   249233.35 м
10816 с,   249248.87 м
10817 с,   249264.41 м
10818 с,   249279.95 м
10819 с,   249295.49 м
10820 с,   249311.05 м
10821 с,   249326.61 м
10822 с,   249342.18 м
10823 с,   249357.75 м
10824 с,   249373.33 м
10825 с,   249388.92 м
10826 с,   249404.51 м
10827 с,   249420.11 м
10828 с,   249435.72 м
10829 с,   249451.33 м
10830 с,   249466.94 м
10831 с,   249482.57 м
10832 с,   249498.19 м
10833 с,   249513.82 м
10834 с,   249529.46 м
10835 с,   249545.10 м
10836 с,   249560.74 м
10837 с,   249576.39 м
10838 с,   249592.05 м
10839 с,   249607.70 м
10840 с,   249623.37 м
10841 с,   249639.03 м
10842 с,   249654.70 м
10843 с,   249670.37 м
10844 с,   249686.05 м
10845 с,   249701.73 м
10846 с,   249717.41 м
10847 с,   249733.09 м
10848 с,   249748.78 м
10849 с,   249764.47 м
10850 с,   249780.16 м
10851 с,   249795.85 м
10852 с,   249811.55 м
10853 с,   249827.25 м
10854 с,   249842.95 м
10855 с,   249858.65 м
10856 с,   249874.35 м
10857 с,   249890.05 м
10858 с,   249905.76 м
10859 с,   249921.46 м
10860 с,   249937.17 м
10861 с,   249952.88 м
10862 с,   249968.58 м
10863 с,   249984.29 м
10864 с,   250000.00 м
10865 с,   250015.71 м
10866 с,   250031.42 м
10867 с,   250047.12 м
10868 с,   250062.83 м
10869 с,   250078.54 м
10870 с,   250094.24 м
10871 с,   250109.95 м
10872 с,   250125.65 м
10873 с,   250141.35 м
10874 с,   250157.05 м
10875 с,   250172.75 м
10876 с,   250188.45 м
10877 с,   250204.15 м
10878 с,   250219.84 м
10879 с,   250235.53 м
10880 с,   250251.22 м
10881 с,   250266.91 м
10882 с,   250282.59 м
10883 с,   250298.27 м
10884 с,   250313.95 м
10885 с,   250329.63 м
10886 с,   250345.30 м
10887 с,   250360.97 м
10888 с,   250376.63 м
10889 с,   250392.30 м
10890 с,   250407.95 м
10891 с,   250423.61 м
10892 с,   250439.26 м
10893 с,   250454.90 м
10894 с,   250470.54 м
10895 с,   250486.18 м
10896 с,   250501.81 м
10897 с,   250517.43 м
10898 с,   250533.06 м
10899 с,   250548.67 м
10900 с,   250564.28 м
10901 с,   250579.89 м
10902 с,   250595.49 м
10903 с,   250611.08 м
10904 с,   250626.67 м
10905 с,   250642.25 м
10906 с,   250657.82 м
10907 с,   250673.39 м
10908 с,   250688.95 м
10909 с,   250704.51 м
10910 с,   250720.05 м
10911 с,   250735.59 м
10912 с,   250751.13 м
10913 с,   250766.65 м
10914 с,   250782.17 м
10915 с,   250797.68 м
10916 с,   250813.19 м
10917 с,   250828.68 м
10918 с,   250844.17 м
10919 с,   250859.65 м
10920 с,   250875.12 м
10921 с,   250890.58 м
10922 с,   250906.03 м
10923 с,   250921.47 м
10924 с,   250936.91 м
10925 с,   250952.33 м
10926 с,   250967.75 м
10927 с,   250983.15 м
10928 с,   250998.55 м
10929 с,   251013.94 м
10930 с,   251029.31 м
10931 с,   251044.68 м
10932 с,   251060.04 м
10933 с,   251075.38 м
10934 с,   251090.72 м
10935 с,   251106.04 м
10936 с,   251121.35 м
10937 с,   251136.66 м
10938 с,   251151.95 м
10939 с,   251167.23 м
10940 с,   251182.49 м
10941 с,   251197.75 м
10942 с,   251213.00 м
10943 с,   251228.23 м
10944 с,   251243.45 м
10945 с,   251258.66 м
10946 с,   251273.85 м
10947 с,   251289.04 м
10948 с,   251304.21 м
10949 с,   251319.37 м
10950 с,   251334.51 м
10951 с,   251349.64 м
10952 с,   251364.76 м
10953 с,   251379.86 м
10954 с,   251394.96 м
10955 с,   251410.03 м
10956 с,   251425.10 м
10957 с,   251440.15 м
10958 с,   251455.18 м
10959 с,   251470.20 м
10960 с,   251485.21 м
10961 с,   251500.20 м
10962 с,   251515.18 м
10963 с,   251530.14 м
10964 с,   251545.08 м
10965 с,   251560.02 м
10966 с,   251574.93 м
10967 с,   251589.83 м
10968 с,   251604.72 м
10969 с,   251619.59 м
10970 с,   251634.44 м
10971 с,   251649.28 м
10972 с,   251664.10 м
10973 с,   251678.90 м
10974 с,   251693.69 м
10975 с,   251708.46 м
10976 с,   251723.21 м
10977 с,   251737.95 м
10978 с,   251752.67 м
10979 с,   251767.37 м
10980 с,   251782.06 м
10981 с,   251796.73 м
10982 с,   251811.38 м
10983 с,   251826.01 м
10984 с,   251840.62 м
10985 с,   251855.22 м
10986 с,   251869.80 м
10987 с,   251884.36 м
10988 с,   251898.90 м
10989 с,   251913.42 м
10990 с,   251927.92 м
10991 с,   251942.40 м
10992 с,   251956.87 м
10993 с,   251971.31 м
10994 с,   251985.74 м
10995 с,   252000.15 м
10996 с,   252014.53 м
10997 с,   252028.90 м
10998 с,   252043.25 м
10999 с,   252057.57 м
11000 с,   252071.88 м
11001 с,   252086.16 м
11002 с,   252100.43 м
11003 с,   252114.67 м
11004 с,   252128.90 м
11005 с,   252143.10 м
11006 с,   252157.28 м
11007 с,   252171.44 м
11008 с,   252185.58 м
11009 с,   252199.70 м
11010 с,   252213.79 м
11011 с,   252227.86 м
11012 с,   252241.92 м
11013 с,   252255.95 м
11014 с,   252269.95 м
11015 с,   252283.94 м
11016 с,   252297.90 м
11017 с,   252311.84 м
11018 с,   252325.76 м
11019 с,   252339.65 м
11020 с,   252353.52 м
11021 с,   252367.37 м
11022 с,   252381.19 м
11023 с,   252394.99 м
11024 с,   252408.77 м
11025 с,   252422.52 м
11026 с,   252436.25 м
11027 с,   252449.96 м
11028 с,   252463.64 м
11029 с,   252477.29 м
11030 с,   252490.93 м
11031 с,   252504.53 м
11032 с,   252518.12 м
11033 с,   252531.67 м
11034 с,   252545.21 м
11035 с,   252558.72 м
11036 с,   252572.20 м
11037 с,   252585.65 м
11038 с,   252599.09 м
11039 с,   252612.49 м
11040 с,   252625.87 м
11041 с,   252639.23 м
11042 с,   252652.56 м
11043 с,   252665.86 м
11044 с,   252679.13 м
11045 с,   252692.38 м
11046 с,   252705.61 м
11047 с,   252718.80 м
11048 с,   252731.97 м
11049 с,   252745.11 м
11050 с,   252758.23 м
11051 с,   252771.32 м
11052 с,   252784.38 м
11053 с,   252797.41 м
11054 с,   252810.42 м
11055 с,   252823.39 м
11056 с,   252836.34 м
11057 с,   252849.27 м
11058 с,   252862.16 м
11059 с,   252875.03 м
11060 с,   252887.86 м
11061 с,   252900.67 м
11062 с,   252913.45 м
11063 с,   252926.20 м
11064 с,   252938.93 м
11065 с,   252951.62 м
11066 с,   252964.28 м
11067 с,   252976.92 м
11068 с,   252989.52 м
11069 с,   253002.10 м
11070 с,   253014.65 м
11071 с,   253027.16 м
11072 с,   253039.65 м
11073 с,   253052.11 м
11074 с,   253064.54 м
11075 с,   253076.93 м
11076 с,   253089.30 м
11077 с,   253101.63 м
11078 с,   253113.94 м
11079 с,   253126.21 м
11080 с,   253138.46 м
11081 с,   253150.67 м
11082 с,   253162.85 м
11083 с,   253175.00 м
11084 с,   253187.12 м
11085 с,   253199.21 м
11086 с,   253211.26 м
11087 с,   253223.29 м
11088 с,   253235.28 м
11089 с,   253247.24 м
11090 с,   253259.17 м
11091 с,   253271.06 м
11092 с,   253282.93 м
11093 с,   253294.76 м
11094 с,   253306.56 м
11095 с,   253318.33 м
11096 с,   253330.06 м
11097 с,   253341.76 м
11098 с,   253353.43 м
11099 с,   253365.06 м
11100 с,   253376.66 м
11101 с,   253388.23 м
11102 с,   253399.77 м
11103 с,   253411.27 м
11104 с,   253422.74 м
11105 с,   253434.17 м
11106 с,   253445.57 м
11107 с,   253456.93 м
11108 с,   253468.27 м
11109 с,   253479.56 м
11110 с,   253490.83 м
11111 с,   253502.06 м
11112 с,   253513.25 м
11113 с,   253524.41 м
11114 с,   253535.53 м
11115 с,   253546.62 м
11116 с,   253557.68 м
11117 с,   253568.70 м
11118 с,   253579.68 м
11119 с,   253590.63 м
11120 с,   253601.55 м
11121 с,   253612.42 м
11122 с,   253623.27 м
11123 с,   253634.07 м
11124 с,   253644.84 м
11125 с,   253655.58 м
11126 с,   253666.28 м
11127 с,   253676.94 м
11128 с,   253687.57 м
11129 с,   253698.16 м
11130 с,   253708.71 м
11131 с,   253719.23 м
11132 с,   253729.71 м
11133 с,   253740.15 м
11134 с,   253750.56 м
11135 с,   253760.92 м
11136 с,   253771.26 м
11137 с,   253781.55 м
11138 с,   253791.81 м
11139 с,   253802.03 м
11140 с,   253812.21 м
11141 с,   253822.36 м
11142 с,   253832.47 м
11143 с,   253842.53 м
11144 с,   253852.57 м
11145 с,   253862.56 м
11146 с,   253872.52 м
11147 с,   253882.43 м
11148 с,   253892.31 м
11149 с,   253902.15 м
11150 с,   253911.95 м
11151 с,   253921.72 м
11152 с,   253931.44 м
11153 с,   253941.13 м
11154 с,   253950.78 м
11155 с,   253960.38 м
11156 с,   253969.95 м
11157 с,   253979.48 м
11158 с,   253988.97 м
11159 с,   253998.42 м
11160 с,   254007.83 м
11161 с,   254017.21 м
11162 с,   254026.54 м
11163 с,   254035.83 м
11164 с,   254045.08 м
11165 с,   254054.30 м
11166 с,   254063.47 м
11167 с,   254072.60 м
11168 с,   254081.70 м
11169 с,   254090.75 м
11170 с,   254099.76 м
11171 с,   254108.73 м
11172 с,   254117.66 м
11173 с,   254126.55 м
11174 с,   254135.40 м
11175 с,   254144.21 м
11176 с,   254152.98 м
11177 с,   254161.71 м
11178 с,   254170.39 м
11179 с,   254179.04 м
11180 с,   254187.64 м
11181 с,   254196.20 м
11182 с,   254204.72 м
11183 с,   254213.20 м
11184 с,   254221.64 м
11185 с,   254230.04 м
11186 с,   254238.39 м
11187 с,   254246.70 м
11188 с,   254254.97 м
11189 с,   254263.20 м
11190 с,   254271.39 м
11191 с,   254279.53 м
11192 с,   254287.63 м
11193 с,   254295.69 м
11194 с,   254303.71 м
11195 с,   254311.68 м
11196 с,   254319.62 м
11197 с,   254327.51 м
11198 с,   254335.35 м
11199 с,   254343.16 м
11200 с,   254350.92 м
11201 с,   254358.64 м
11202 с,   254366.31 м
11203 с,   254373.94 м
11204 с,   254381.53 м
11205 с,   254389.08 м
11206 с,   254396.58 м
11207 с,   254404.04 м
11208 с,   254411.46 м
11209 с,   254418.83 м
11210 с,   254426.16 м
11211 с,   254433.44 м
11212 с,   254440.68 м
11213 с,   254447.88 м
11214 с,   254455.03 м
11215 с,   254462.14 м
11216 с,   254469.21 м
11217 с,   254476.23 м
11218 с,   254483.21 м
11219 с,   254490.14 м
11220 с,   254497.03 м
11221 с,   254503.87 м
11222 с,   254510.67 м
11223 с,   254517.42 м
11224 с,   254524.14 м
11225 с,   254530.80 м
11226 с,   254537.42 м
11227 с,   254544.00 м
11228 с,   254550.53 м
11229 с,   254557.02 м
11230 с,   254563.46 м
11231 с,   254569.85 м
11232 с,   254576.21 м
11233 с,   254582.51 м
11234 с,   254588.77 м
11235 с,   254594.99 м
11236 с,   254601.16 м
11237 с,   254607.28 м
11238 с,   254613.36 м
11239 с,   254619.40 м
11240 с,   254625.39 м
11241 с,   254631.33 м
11242 с,   254637.23 м
11243 с,   254643.08 м
11244 с,   254648.88 м
11245 с,   254654.64 м
11246 с,   254660.36 м
11247 с,   254666.02 м
11248 с,   254671.64 м
11249 с,   254677.22 м
11250 с,   254682.75 м
11251 с,   254688.23 м
11252 с,   254693.67 м
11253 с,   254699.06 м
11254 с,   254704.40 м
11255 с,   254709.70 м
11256 с,   254714.95 м
11257 с,   254720.16 м
11258 с,   254725.32 м
11259 с,   254730.43 м
11260 с,   254735.49 м
11261 с,   254740.51 м
11262 с,   254745.48 м
11263 с,   254750.41 м
11264 с,   254755.28 м
11265 с,   254760.11 м
11266 с,   254764.90 м
11267 с,   254769.63 м
11268 с,   254774.32 м
11269 с,   254778.97 м
11270 с,   254783.56 м
11271 с,   254788.11 м
11272 с,   254792.61 м
11273 с,   254797.06 м
11274 с,   254801.47 м
11275 с,   254805.83 м
11276 с,   254810.14 м
11277 с,   254814.40 м
11278 с,   254818.62 м
11279 с,   254822.79 м
11280 с,   254826.91 м
11281 с,   254830.98 м
11282 с,   254835.01 м
11283 с,   254838.99 м
11284 с,   254842.92 м
11285 с,   254846.80 м
11286 с,   254850.63 м
11287 с,   254854.42 м
11288 с,   254858.16 м
11289 с,   254861.85 м
11290 с,   254865.49 м
11291 с,   254869.09 м
11292 с,   254872.63 м
11293 с,   254876.13 м
11294 с,   254879.58 м
11295 с,   254882.99 м
11296 с,   254886.34 м
11297 с,   254889.65 м
11298 с,   254892.90 м
11299 с,   254896.11 м
11300 с,   254899.28 м
11301 с,   254902.39 м
11302 с,   254905.45 м
11303 с,   254908.47 м
11304 с,   254911.44 м
11305 с,   254914.36 м
11306 с,   254917.23 м
11307 с,   254920.05 м
11308 с,   254922.82 м
11309 с,   254925.55 м
11310 с,   254928.22 м
11311 с,   254930.85 м
11312 с,   254933.43 м
11313 с,   254935.96 м
11314 с,   254938.44 м
11315 с,   254940.87 м
11316 с,   254943.26 м
11317 с,   254945.59 м
11318 с,   254947.88 м
11319 с,   254950.12 м
11320 с,   254952.31 м
11321 с,   254954.45 м
11322 с,   254956.54 м
11323 с,   254958.58 м
11324 с,   254960.57 м
11325 с,   254962.52 м
11326 с,   254964.41 м
11327 с,   254966.26 м
11328 с,   254968.06 м
11329 с,   254969.80 м
11330 с,   254971.50 м
11331 с,   254973.15 м
11332 с,   254974.76 м
11333 с,   254976.31 м
11334 с,   254977.81 м
11335 с,   254979.26 м
11336 с,   254980.67 м
11337 с,   254982.02 м
11338 с,   254983.33 м
11339 с,   254984.59 м
11340 с,   254985.79 м
11341 с,   254986.95 м
11342 с,   254988.06 м
11343 с,   254989.12 м
11344 с,   254990.13 м
11345 с,   254991.10 м
11346 с,   254992.01 м
11347 с,   254992.87 м
11348 с,   254993.68 м
11349 с,   254994.45 м
11350 с,   254995.16 м
11351 с,   254995.83 м
11352 с,   254996.45 м
11353 с,   254997.01 м
11354 с,   254997.53 м
11355 с,   254998.00 м
11356 с,   254998.42 м
11357 с,   254998.79 м
11358 с,   254999.11 м
11359 с,   254999.38 м
11360 с,   254999.61 м
11361 с,   254999.78 м
11362 с,   254999.90 м
11363 с,   254999.98 м
11364 с,   255000.00 м
11365 с,   254999.98 м
11366 с,   254999.90 м
11367 с,   254999.78 м
11368 с,   254999.61 м
11369 с,   254999.38 м
11370 с,   254999.11 м
11371 с,   254998.79 м
11372 с,   254998.42 м
11373 с,   254998.00 м
11374 с,   254997.53 м
11375 с,   254997.01 м
11376 с,   254996.45 м
11377 с,   254995.83 м
11378 с,   254995.16 м
11379 с,   254994.45 м
11380 с,   254993.68 м
11381 с,   254992.87 м
11382 с,   254992.01 м
11383 с,   254991.10 м
11384 с,   254990.13 м
11385 с,   254989.12 м
11386 с,   254988.06 м
11387 с,   254986.95 м
11388 с,   254985.79 м
11389 с,   254984.59 м
11390 с,   254983.33 м
11391 с,   254982.02 м
11392 с,   254980.67 м
11393 с,   254979.26 м
11394 с,   254977.81 м
11395 с,   254976.31 м
11396 с,   254974.76 м
11397 с,   254973.15 м
11398 с,   254971.50 м
11399 с,   254969.80 м
11400 с,   254968.06 м
11401 с,   254966.26 м
11402 с,   254964.41 м
11403 с,   254962.52 м
11404 с,   254960.57 м
11405 с,   254958.58 м
11406 с,   254956.54 м
11407 с,   254954.45 м
11408 с,   254952.31 м
11409 с,   254950.12 м
11410 с,   254947.88 м
11411 с,   254945.59 м
11412 с,   254943.26 м
11413 с,   254940.87 м
11414 с,   254938.44 м
11415 с,   254935.96 м
11416 с,   254933.43 м
11417 с,   254930.85 м
11418 с,   254928.22 м
11419 с,   254925.55 м
11420 с,   254922.82 м
11421 с,   254920.05 м
11422 с,   254917.23 м
11423 с,   254914.36 м
11424 с,   254911.44 м
11425 с,   254908.47 м
11426 с,   254905.45 м
11427 с,   254902.39 м
11428 с,   254899.28 м
11429 с,   254896.11 м
11430 с,   254892.90 м
11431 с,   254889.65 м
11432 с,   254886.34 м
11433 с,   254882.99 м
11434 с,   254879.58 м
11435 с,   254876.13 м
11436 с,   254872.63 м
11437 с,   254869.09 м
11438 с,   254865.49 м
11439 с,   254861.85 м
11440 с,   254858.16 м
11441 с,   254854.42 м
11442 с,   254850.63 м
11443 с,   254846.80 м
11444 с,   254842.92 м
11445 с,   254838.99 м
11446 с,   254835.01 м
11447 с,   254830.98 м
11448 с,   254826.91 м
11449 с,   254822.79 м
11450 с,   254818.62 м
11451 с,   254814.40 м
11452 с,   254810.14 м
11453 с,   254805.83 м
11454 с,   254801.47 м
